bits,simple,multithread,rxjava
12.0,0.07,0.063,0.122
14.0,0.045,0.053,0.032
16.0,0.053,0.051,0.035
18.0,0.081,0.053,0.055
20.0,0.162,0.137,0.073
22.0,0.23,0.106,0.123
24.0,0.417,0.2,0.211
26.0,0.724,0.394,0.395
28.0,1.449,0.885,0.826
30.0,2.599,1.715,1.584
32.0,4.822,3.194,3.262
34.0,10.377,7.031,6.993
36.0,20.97,13.995,14.806
40.0,82.692,56.647,56.636
42.0,163.936,112.129,112.053
