Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №42,2059,1500,0,1301,45,154,45,1297,27,1315,0,0,8,244,43,835,94,14,27,50
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №43,2331,2000,0,1382,34,584,34,1381,7,1408,0,0,16,144,100,1076,28,11,9,24
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №44,2465,2050,0,1509,36,505,36,1509,33,1512,0,0,10,240,60,1003,105,14,24,56
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №45,1566,1150,0,920,26,204,26,918,10,934,0,0,5,80,79,745,8,4,5,8
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №46,2555,2000,0,1375,61,564,61,1374,29,1406,0,0,4,214,38,1085,35,8,9,13
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №47,2177,2000,0,1298,49,653,49,1298,16,1331,0,0,46,76,78,1062,25,9,12,23
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №48,2371,2100,0,1283,72,745,72,1283,8,1347,0,0,13,74,60,1084,40,17,16,43
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №49,1739,1600,0,945,58,597,58,943,23,978,0,0,7,53,47,790,27,8,20,26
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №50,1588,1400,0,900,47,453,47,900,6,941,0,0,4,78,37,758,16,6,9,33
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №51,2355,2000,0,1306,33,661,33,1306,0,1339,0,0,6,110,86,1085,23,7,7,15
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №52,1190,1000,0,599,36,365,36,598,7,627,0,0,4,42,28,515,17,8,5,8
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №53,352,372,0,297,0,75,0,297,6,291,0,0,3,20,13,238,7,3,3,4
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №54,1924,1500,0,1184,25,291,25,1182,27,1180,0,0,5,195,45,728,108,8,35,56
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №55,2365,1500,0,1432,32,36,32,1432,18,1446,0,0,5,148,102,1121,27,13,9,21
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №56,2816,2400,0,1654,39,707,39,1654,29,1664,0,0,8,174,53,1299,27,7,12,84
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №57,1917,1500,0,1085,44,371,44,1085,11,1118,0,0,4,116,27,850,58,6,21,36
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №58,1812,1500,0,980,112,408,112,980,6,1086,0,0,2,104,23,871,38,5,15,28
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №59,1763,1600,0,1060,40,500,40,1060,5,1095,0,0,5,97,113,825,20,10,10,15
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №60,2105,1900,0,1175,150,575,150,1174,19,1305,0,0,3,120,14,1092,22,19,4,31
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №61,1928,1500,0,1196,12,292,12,1196,11,1197,0,0,6,112,71,958,22,7,4,17
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №62,2752,2300,0,1809,30,461,30,1808,26,1812,0,0,18,263,35,1385,53,2,21,35
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №63,1293,1100,0,760,35,305,35,760,11,784,0,0,9,125,12,532,50,9,15,32
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №64,1742,1500,0,1050,36,414,35,1050,9,1076,0,0,8,88,30,896,23,9,7,15
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №65,1979,1700,0,1179,32,489,31,1178,11,1198,0,0,6,153,55,939,19,4,11,11
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №66,1496,1100,0,909,33,158,33,908,7,934,0,0,3,91,62,720,24,6,7,21
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №67,2480,2000,0,1572,70,358,70,1572,30,1612,0,0,14,237,81,1125,75,12,18,50
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №68,2123,1500,0,1372,47,81,47,1370,13,1404,0,0,9,109,103,1114,27,7,8,27
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №69,2149,1500,0,1338,24,138,24,1323,41,1306,0,0,10,214,54,898,68,11,15,36
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №70,2455,2100,0,1375,47,678,47,1374,8,1413,0,0,3,125,95,1115,21,15,15,24
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №71,1300,1200,0,671,30,499,30,671,7,694,0,0,9,55,42,556,10,8,6,8
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №72,1527,1200,0,963,35,202,35,961,26,970,0,0,9,78,23,796,32,8,7,17
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №73,1956,1800,0,969,28,803,28,966,19,975,0,0,7,109,46,757,32,6,5,13
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №74,1716,1500,0,870,25,605,25,870,9,886,0,0,3,101,61,709,2,3,3,4
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №75,1808,1600,0,972,34,594,34,972,2,1004,0,0,8,96,51,795,26,10,10,8
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №76,389,405,0,389,0,16,0,389,0,389,0,0,0,8,7,373,0,0,1,0
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №78,82,100,0,82,0,18,0,82,0,82,0,0,1,1,1,75,1,1,1,1
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №79,86,110,0,86,0,24,0,86,0,86,0,0,0,4,1,78,2,1,0,0
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №80,235,270,0,235,0,35,0,235,0,235,0,0,1,11,4,213,2,1,1,2
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №81,233,300,0,233,0,67,0,233,0,233,0,0,2,0,3,227,0,1,0,0
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №82,126,150,0,126,0,24,0,126,4,122,0,0,1,6,1,111,2,0,1,0
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №83,55,70,0,55,0,15,0,55,0,55,0,0,0,1,0,52,1,0,1,0
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №84,119,200,0,119,0,81,0,119,1,118,0,0,0,2,1,113,1,0,0,1
Республика Татарстан (Татарстан),"Казань, Вахитовская",УИК №85,142,200,0,142,0,58,0,142,0,142,0,0,0,7,1,134,0,0,0,0
